Id,Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Temp,Humi,pitch,roll,yaw
109,0.54,-0.003071805,-0.05102657,1.000539,98.86543,-549.1775,-259.05,-0.153079,0.6603402,-0.01350684,29.00146,53.79125,0,0,0
110,0.545,-0.002761047,-0.05053061,1.00285,75.5574,-539.7434,-217.5433,-0.1513493,0.6518818,-0.01238094,29.00256,53.80566,0,0,0
111,0.55,-0.002095998,-0.04933828,0.9981075,35.99837,-557.0923,-244.5166,-0.1515787,0.6468355,-0.01200637,28.99673,53.80646,0,0,0
112,0.555,-0.00212701,-0.05045117,0.9976829,54.79735,-598.0369,-249.4803,-0.1526917,0.6493735,-0.01380741,28.99146,53.80729,0,0,0
113,0.56,-0.005186944,-0.05174589,0.9984151,-28.06597,-542.361,-186.0055,-0.1545801,0.6558385,-0.01350618,28.98687,53.8082,0,0,0
114,0.565,-0.005394706,-0.05000464,0.9995623,26.92798,-592.9633,-195.0882,-0.1558898,0.6544503,-0.008664638,28.98305,53.80923,0,0,0
115,0.57,-0.006446229,-0.05119804,0.9994855,23.93396,-571.1081,-233.9076,-0.1560804,0.6498366,-0.006004715,28.98009,53.81043,0,0,0
116,0.575,-0.004747903,-0.0492012,0.9950271,61.33673,-575.3763,-235.3391,-0.1543511,0.6481921,-0.01177065,28.97802,53.8119,0,0,0
117,0.58,-0.006224854,-0.0511051,0.9996881,91.39261,-531.1963,-194.3292,-0.1530793,0.6543391,-0.02101054,28.97689,53.81376,0,0,0
118,0.585,-0.00236952,-0.04934869,0.9955149,80.38686,-578.2776,-304.2867,-0.1530986,0.6591482,-0.02354733,28.97673,53.81608,0,0,0
119,0.59,-0.004806522,-0.05305239,1.002136,58.61215,-531.3457,-274.074,-0.1545803,0.6603409,-0.01800867,28.97754,53.81905,0,0,0
120,0.595,0.001397788,-0.04887301,0.9928536,41.16506,-608.8974,-262.352,-0.155951,0.656738,-0.01226901,28.97931,53.8228,0,0,0
121,0.6,-0.005213744,-0.05172913,0.9982057,44.55338,-539.4155,-212.3474,-0.1575813,0.6543379,-0.01200637,28.98202,53.82746,0,0,0
122,0.605,-0.00030015,-0.0507081,0.9937335,-16.44021,-606.9148,-185.6207,-0.157866,0.6512499,-0.01427149,28.98563,53.83321,0,0,0
123,0.61,-0.004705532,-0.05037392,0.9997694,154.8163,-532.0888,-163.5738,-0.1560803,0.6498361,-0.01350634,28.99007,53.84013,0,0,0
124,0.615,-0.0007185014,-0.04997558,0.9944305,65.20815,-612.7208,-231.041,-0.1526816,0.6481367,-0.009529212,28.99527,53.84834,0,0,0
125,0.62,-0.006277521,-0.0487404,0.9972037,26.22225,-541.6683,-190.3112,-0.1515787,0.6498365,-0.007504686,29.0011,53.85783,0,0,0
126,0.625,-0.001147757,-0.04949471,0.9922898,69.78478,-622.518,-227.4393,-0.1529323,0.6514485,-0.01044648,29.00304,53.86041,0,0,0
127,0.63,-0.005424829,-0.04959882,0.9984943,42.703,-497.2462,-247.6804,-0.1545801,0.6528369,-0.01500728,28.99663,53.84805,0,0,0
